Precio;Expensas;Direccion;Metros;Ambientes;Dormitorios;Baños;Cocheras;Titulo;URL
$600.000;;, Villa Urquiza, CABA;;;;;;Alquiler Ph Luminoso Ph Sin Expensas Villa Urquiza;https://cabaprop.com.ar/propiedad/69798429e093840dd60c4f82/Alquiler-Ph-Luminoso-Ph-Sin-Expensas-Villa-Urquiza
$1.000.000;;, Villa Urquiza, CABA;;3 Ambientes;2 Dorm.;1 Baño;;T/casa 3 Amb Fte Patio Y Gran Terraza. Sin Expensas;https://cabaprop.com.ar/propiedad/6979813ae093840dd60c45a1/T-casa-3-Amb-Fte-Patio-Y-Gran-Terraza-Sin-Expensas
USD 750;$30.000;, Villa Urquiza, CABA;;2 Ambientes;1 Dorm.;2 Baños;;Venta Ph Triplex Con Cochera Fija Y Cubierta.;https://cabaprop.com.ar/propiedad/6976dfe2cc8f3498fafb557a/Venta-Ph-Triplex-Con-Cochera-Fija-Y-Cubierta
$700.000;;, Villa Urquiza, CABA;;;;1 Baño;;Ph Al Frente Planta Baja 1 Ambiente  Con Patio Zona Villa Urquiza.;https://cabaprop.com.ar/propiedad/6955eb59269e10adbff00865/Ph-Al-Frente-Planta-Baja-1-Ambiente-Con-Patio-Zona-Villa-Urquiza
$1.500.000;;, Villa Urquiza, CABA;;2 Ambientes;1 Dorm.;2 Baños;;PH EN DUPLEX TIPO LOFT 2 AMB 100M2 CON PATIO;https://cabaprop.com.ar/propiedad/691dfe9efe12b64f3bc50fd4/PH-EN-DUPLEX-TIPO-LOFT-2-AMB-100M2-CON-PATIO
USD 2000;;, Villa Urquiza, CABA;;8 Ambientes;5 Dorm.;3 Baños;;Ph Frente, Solo Uso Profesiona/ Comercial, Sin Cochera, 2 Plantas. Urquiza.;https://cabaprop.com.ar/propiedad/68ef20b85f9b3aad85388255/Ph-Frente-Solo-Uso-Profesiona-Comercial-Sin-Cochera-2-Plantas-Urquiza
$600.000;;, Villa Urquiza, CABA;;;;;;Alquiler Ph Luminoso Ph Sin Expensas Villa Urquiza;https://cabaprop.com.ar/propiedad/69798429e093840dd60c4f82/Alquiler-Ph-Luminoso-Ph-Sin-Expensas-Villa-Urquiza
$1.000.000;;, Villa Urquiza, CABA;;3 Ambientes;2 Dorm.;1 Baño;;T/casa 3 Amb Fte Patio Y Gran Terraza. Sin Expensas;https://cabaprop.com.ar/propiedad/6979813ae093840dd60c45a1/T-casa-3-Amb-Fte-Patio-Y-Gran-Terraza-Sin-Expensas
USD 750;$30.000;, Villa Urquiza, CABA;;2 Ambientes;1 Dorm.;2 Baños;;Venta Ph Triplex Con Cochera Fija Y Cubierta.;https://cabaprop.com.ar/propiedad/6976dfe2cc8f3498fafb557a/Venta-Ph-Triplex-Con-Cochera-Fija-Y-Cubierta
$700.000;;, Villa Urquiza, CABA;;;;1 Baño;;Ph Al Frente Planta Baja 1 Ambiente  Con Patio Zona Villa Urquiza.;https://cabaprop.com.ar/propiedad/6955eb59269e10adbff00865/Ph-Al-Frente-Planta-Baja-1-Ambiente-Con-Patio-Zona-Villa-Urquiza
$1.500.000;;, Villa Urquiza, CABA;;2 Ambientes;1 Dorm.;2 Baños;;PH EN DUPLEX TIPO LOFT 2 AMB 100M2 CON PATIO;https://cabaprop.com.ar/propiedad/691dfe9efe12b64f3bc50fd4/PH-EN-DUPLEX-TIPO-LOFT-2-AMB-100M2-CON-PATIO
USD 2000;;, Villa Urquiza, CABA;;8 Ambientes;5 Dorm.;3 Baños;;Ph Frente, Solo Uso Profesiona/ Comercial, Sin Cochera, 2 Plantas. Urquiza.;https://cabaprop.com.ar/propiedad/68ef20b85f9b3aad85388255/Ph-Frente-Solo-Uso-Profesiona-Comercial-Sin-Cochera-2-Plantas-Urquiza
$600.000;;, Villa Urquiza, CABA;;;;;;Alquiler Ph Luminoso Ph Sin Expensas Villa Urquiza;https://cabaprop.com.ar/propiedad/69798429e093840dd60c4f82/Alquiler-Ph-Luminoso-Ph-Sin-Expensas-Villa-Urquiza
$1.000.000;;, Villa Urquiza, CABA;;3 Ambientes;2 Dorm.;1 Baño;;T/casa 3 Amb Fte Patio Y Gran Terraza. Sin Expensas;https://cabaprop.com.ar/propiedad/6979813ae093840dd60c45a1/T-casa-3-Amb-Fte-Patio-Y-Gran-Terraza-Sin-Expensas
USD 750;$30.000;, Villa Urquiza, CABA;;2 Ambientes;1 Dorm.;2 Baños;;Venta Ph Triplex Con Cochera Fija Y Cubierta.;https://cabaprop.com.ar/propiedad/6976dfe2cc8f3498fafb557a/Venta-Ph-Triplex-Con-Cochera-Fija-Y-Cubierta
$700.000;;, Villa Urquiza, CABA;;;;1 Baño;;Ph Al Frente Planta Baja 1 Ambiente  Con Patio Zona Villa Urquiza.;https://cabaprop.com.ar/propiedad/6955eb59269e10adbff00865/Ph-Al-Frente-Planta-Baja-1-Ambiente-Con-Patio-Zona-Villa-Urquiza
$1.500.000;;, Villa Urquiza, CABA;;2 Ambientes;1 Dorm.;2 Baños;;PH EN DUPLEX TIPO LOFT 2 AMB 100M2 CON PATIO;https://cabaprop.com.ar/propiedad/691dfe9efe12b64f3bc50fd4/PH-EN-DUPLEX-TIPO-LOFT-2-AMB-100M2-CON-PATIO
USD 2000;;, Villa Urquiza, CABA;;8 Ambientes;5 Dorm.;3 Baños;;Ph Frente, Solo Uso Profesiona/ Comercial, Sin Cochera, 2 Plantas. Urquiza.;https://cabaprop.com.ar/propiedad/68ef20b85f9b3aad85388255/Ph-Frente-Solo-Uso-Profesiona-Comercial-Sin-Cochera-2-Plantas-Urquiza
